Name;Sector;Ticker;Country,
Coca-Cola HBC AG;Consumer Defensive;EEE.AT;Greece,
Hellenic Petroleum;Energy;ELPE.AT;Greece,
National Bank of Greece;Financials;ETE.AT;Greece,
Eurobank Ergasias;Financials;EUROB.AT;Greece,
EYDAP;Consumer Defensive;EYDAP.AT;Greece,
Folli Follie;Consumer Discretionary;FFGRP.AT;Greece,
GEK Terna;Industrials;GEKTERNA.AT;Greece,
OTE;Communication Services;HTO.AT;Greece,
Lamda Development S.A.;Real Estate;LAMDA.AT;Greece,
Motor Oil Hellas;Industrials;MOH.AT;Greece,
Mytilineos Holdings;Materials;MYTIL.AT;Greece,
OPAP;Consumer Discretionary;OPAP.AT;Greece,
Piraeus Port Authority S.A.;Consumer Discretionary;PPA.AT;Greece,
Public Power Corporation;Utilities;PPC.AT;Greece,
Gr. Sarantis S.A.;Consumer Defensive;SAR.AT;Greece,
Terna Energy;Utilities;TENERGY.AT;Greece,
Piraeus Bank;Financials;TPEIR.AT;Greece,
Viohalco;Industrials;VIO.AT;Greece,
The A2 Milk Company;Consumer Defensive;A2M.AX;Australia,
AGL Energy;Utilities;AGL;Australia,
Amcor;Materials;AMC;Australia,
ANZ Banking Group;Financials;ANZ.AX;Australia,
APA Group;Utilities;APA.AX;Australia,
Ampol;Energy;ALD.AX;Australia,
Aristocrat Leisure;Consumer Discretionary;ALL.AX;Australia,
ASX;Financials;ASX;Australia,
Aurizon;Industrials;AZJ.AX;Australia,
BHP;Materials;BHP;Australia,
Brambles;Industrials;BXB.AX;Australia,
Cochlear;Healthcare;COH.AX;Australia,
Coles Group;Consumer Defensive;COL;Australia,
Commonwealth Bank;Financials;CBA.AX;Australia,
Computershare;Information Technology;CPU.AX;Australia,
CSL;Healthcare;CSL;Australia,
Dexus;Financials;DXS.AX;Australia,
Fortescue Metals Group;Materials;FMG.AX;Australia,
Goodman Group;Financials;GMG.AX;Australia,
GPT Group;Financials;GPT.AX;Australia,
Insurance Australia Group;Financials;IAG;Australia,
James Hardie;Materials;JHX;Australia,
Lendlease;Financials;LLC.AX;Australia,
Macquarie Group;Financials;MQG.AX;Australia,
Medibank;Financials;MPL.AX;Australia,
Mirvac;Financials;MGR;Australia,
